# {"t_start": 1564300495.4798036, "env_id": null} 
r,l,t
113.388213,927,10.725977
90.270524,253,13.825667
41.031886,43,14.410056
108.608705,253,17.573052
72.971083,166,19.802377
82.719127,131,21.468144
185.829411,487,27.401572
208.702723,476,33.314235
103.585362,173,35.532829
122.595734,257,38.790602
49.492582,48,39.453247
82.91838,200,42.074693
128.099607,321,46.313939
55.985218,79,47.278675
57.750601,182,49.874405
144.235453,279,53.33565
27.036558,53,53.91723
23.812206,17,54.1357
105.173719,391,58.624474
192.518406,681,66.648196
45.162948,38,67.159935
