# {"t_start": 1564300495.4837923, "env_id": null} 
r,l,t
36.555908,311,4.050398
313.045274,981,15.308288
40.994565,92,16.427613
105.235718,208,19.075387
65.874002,30,19.507261
34.537196,43,20.102371
80.58408,134,21.774056
57.460532,100,22.969079
54.394936,130,24.455027
71.842716,166,26.545011
228.619359,372,31.186723
48.575467,70,32.058457
148.129949,337,36.537851
134.888355,300,40.2124
164.601921,337,44.702287
60.297894,36,45.227762
20.628615,12,45.37972
89.491193,219,48.086304
74.090113,163,50.518939
184.781604,646,57.997891
177.365568,516,64.048617
53.248408,20,64.328299
46.422884,222,67.015249
