# {"t_start": 1564300495.4788058, "env_id": null} 
r,l,t
86.747518,862,9.824328
41.661679,38,10.362178
98.426269,297,14.050033
39.749276,40,14.580819
66.103599,68,15.498979
170.67213,420,20.853559
147.490956,225,23.557306
90.833958,216,26.194107
60.531105,69,27.081915
108.961049,180,29.435086
85.738294,212,31.923538
46.072291,72,32.778999
39.668174,53,33.557162
43.626061,31,33.964619
123.210123,183,36.414183
75.368068,237,39.309599
78.706453,109,40.736462
52.322012,107,42.169441
332.162701,704,51.498564
37.220648,36,51.968778
193.819094,393,56.374442
28.039977,33,56.790797
34.015651,34,57.226191
60.525907,95,58.351014
