# {"t_start": 1564156370.274676, "env_id": null} 
r,l,t
4.174391,8928,193.668606
10.350002,1662,226.560122
9.92534,1,226.594824
10.0,1,226.631075
10.0,1,226.664061
10.0,1,226.699966
10.237178,1391,255.085616
10.0,1,255.123688
10.0,1,255.15881
10.0,1,255.195141
10.0,1,255.228418
10.0,1,255.263609
10.0,1,255.301646
10.0,1,255.336733
10.0,1,255.373108
10.0,1,255.408425
10.0,1,255.441466
10.0,1,255.47677
10.0,1,255.513806
10.0,1,255.549388
10.0,1,255.581046
10.0,1,255.613351
10.0,1,255.650265
10.0,1,255.685891
10.0,1,255.720246
10.0,1,255.754304
10.0,1,255.788068
10.0,1,255.820555
10.0,1,255.85507
10.0,1,255.888992
10.0,1,255.921452
9.659313,1,255.956376
10.0,1,255.990685
10.0,1,256.024717
10.0,1,256.057275
10.0,1,256.08934
10.0,1,256.12115
10.0,1,256.155508
10.0,1,256.185745
10.0,1,256.222949
10.0,1,256.257467
10.0,1,256.292511
10.0,1,256.327822
10.0,1,256.361353
10.0,1,256.393054
10.0,1,256.426584
10.0,1,256.460391
10.0,1,256.492002
10.0,1,256.525325
10.0,1,256.558041
10.0,1,256.591138
10.0,1,256.623348
10.0,1,256.660773
10.0,1,256.693138
5.027868,9314,448.172173
10.0,1,448.205399
10.0,1,448.236872
9.684163,1,448.270077
10.318699,289,454.089728
9.637795,1,454.123124
19.561373,16223,787.880962
-4.067545,16185,1114.518234
12.758925,408,1123.000813
10.0,1,1123.040429
10.0,1,1123.074082
-4.628888,17527,1483.155521
9.901253,1,1483.186491
10.0,1,1483.225233
10.0,1,1483.256955
10.0,1,1483.288372
10.0,1,1483.326509
10.0,1,1483.358894
10.0,1,1483.393448
10.0,1,1483.426799
10.0,1,1483.460916
10.0,1,1483.497584
10.0,1,1483.53051
10.0,1,1483.573291
10.0,1,1483.60748
10.0,1,1483.639901
10.0,1,1483.673076
10.0,1,1483.705466
10.0,1,1483.740371
-6.9027,10122,1688.104026
10.0,1,1688.138035
10.0,1,1688.17288
9.591812,3897,1765.931328
10.0,1,1765.965375
