# {"t_start": 1564156370.304447, "env_id": null} 
r,l,t
15.972415,2893,64.60793
10.0,1,64.647786
10.076261,1,64.686173
10.0,1,64.726965
10.0,1,64.774054
10.0,1,64.818012
10.0,1,64.863141
10.0,1,64.92224
10.0,1,64.971043
10.0,1,65.010711
10.0,1,65.048264
10.0,1,65.090011
10.0,1,65.130709
10.0,1,65.169904
10.0,1,65.207853
10.0,1,65.249222
10.0,1,65.288062
10.0,1,65.326224
10.0,1,65.365904
10.0,1,65.402996
10.0,1,65.439552
10.0,1,65.47692
10.0,1,65.512511
10.0,1,65.550031
10.0,1,65.586073
10.0,1,65.621679
10.0,1,65.6578
10.0,1,65.69312
10.0,1,65.731295
10.0,1,65.766995
10.0,1,65.803378
10.0,1,65.840369
10.0,1,65.876674
10.0,1,65.915929
10.0,1,65.9518
10.0,1,65.986107
10.0,1,66.021237
10.0,1,66.056276
10.0,1,66.096948
10.0,1,66.133383
10.0,1,66.17024
10.0,1,66.207261
10.0,1,66.242273
10.0,1,66.277045
10.0,1,66.313288
10.0,1,66.351264
10.0,1,66.385992
10.0,1,66.421444
10.0,1,66.458219
10.0,1,66.49371
10.0,1,66.527462
10.0,1,66.563658
10.0,1,66.596383
10.0,1,66.634022
10.0,1,66.668981
10.0,1,66.704309
10.0,1,66.739067
10.0,1,66.774375
10.0,1,66.809466
10.0,1,66.845712
10.0,1,66.880632
10.0,1,66.915504
10.0,1,66.951311
10.0,1,66.987646
10.0,1,67.021986
10.0,1,67.057599
10.0,1,67.092654
10.0,1,67.127337
10.0,1,67.164815
10.0,1,67.199897
10.0,1,67.234858
10.0,1,67.269287
10.0,1,67.303946
10.0,1,67.338965
10.0,1,67.375779
10.0,1,67.409867
10.0,1,67.445731
10.0,1,67.479446
10.0,1,67.514676
10.0,1,67.548509
10.0,1,67.582864
10.0,1,67.617305
10.0,1,67.652196
10.0,1,67.687372
10.0,1,67.719328
10.0,1,67.753243
10.0,1,67.788061
10.0,1,67.823184
10.0,1,67.860077
10.0,1,67.89281
10.0,1,67.923318
10.0,1,67.95726
10.0,1,67.989303
10.0,1,68.024736
10.0,1,68.05906
10.0,1,68.093028
10.0,1,68.128381
10.0,1,68.160985
10.0,1,68.197143
10.0,1,68.231338
10.0,1,68.265498
10.0,1,68.299644
10.0,1,68.333969
10.0,1,68.372415
10.0,1,68.409845
10.0,1,68.443473
10.0,1,68.4765
10.0,1,68.509794
10.0,1,68.547514
10.0,1,68.582544
10.0,1,68.616996
10.0,1,68.650371
10.0,1,68.687015
10.0,1,68.726079
10.0,1,68.762003
10.0,1,68.801309
10.0,1,68.835592
10.0,1,68.872145
10.0,1,68.909728
10.0,1,68.946059
10.0,1,68.979718
10.0,1,69.013665
10.0,1,69.047582
10.0,1,69.085692
10.0,1,69.119325
10.0,1,69.153857
10.0,1,69.189763
10.0,1,69.226868
10.0,1,69.264773
10.0,1,69.299198
10.0,1,69.337076
10.0,1,69.373278
10.0,1,69.408244
10.0,1,69.445863
10.0,1,69.482354
10.0,1,69.515991
10.0,1,69.548953
10.0,1,69.581374
10.0,1,69.617276
10.0,1,69.649563
10.0,1,69.683355
10.0,1,69.716796
10.0,1,69.753569
10.0,1,69.788519
10.0,1,69.821709
10.0,1,69.856765
10.0,1,69.893567
10.0,1,69.92953
10.0,1,69.967607
10.0,1,70.003267
10.0,1,70.038523
10.0,1,70.074066
10.0,1,70.109101
10.0,1,70.145133
10.0,1,70.179689
10.0,1,70.213881
10.0,1,70.248328
10.0,1,70.282886
10.0,1,70.319253
10.0,1,70.354022
10.0,1,70.389739
10.0,1,70.42416
10.0,1,70.457814
10.0,1,70.492153
10.0,1,70.524295
10.0,1,70.556692
10.0,1,70.59164
10.0,1,70.624578
10.0,1,70.66175
10.0,1,70.695355
10.0,1,70.729877
10.0,1,70.765719
10.0,1,70.800322
10.0,1,70.836808
10.0,1,70.873621
10.0,1,70.910359
10.0,1,70.946095
10.0,1,70.980421
10.0,1,71.016753
10.0,1,71.051966
10.0,1,71.088419
10.0,1,71.123711
10.0,1,71.158741
10.0,1,71.195648
10.0,1,71.230146
10.0,1,71.264388
10.0,1,71.298825
10.0,1,71.335391
10.0,1,71.37697
9.830127,1,71.41467
10.026633,16,71.7643
10.230625,1,71.799497
10.0,1,71.834889
10.0,1,71.874473
10.0,1,71.909811
10.0,1,71.946561
10.0,1,71.982388
10.0,1,72.018864
9.731914,18,72.418289
10.0,1,72.45496
10.0,1,72.493751
10.0,1,72.535275
10.0,1,72.57267
10.0,1,72.615335
10.0,1,72.658777
10.0,1,72.697497
10.0,1,72.739787
10.0,1,72.775463
10.0,1,72.811276
10.0,1,72.848394
10.0,1,72.889438
10.227536,1,72.931222
10.0,1,72.972624
10.0,1,73.012843
10.0,1,73.049671
10.0,1,73.084401
10.0,1,73.123901
10.0,1,73.159192
10.0,1,73.198052
10.0,1,73.234361
10.0,1,73.271621
10.0,1,73.312535
10.0,1,73.346912
9.804183,28,73.944566
10.147553,639,88.072598
10.0,1,88.107923
10.0,1,88.147906
10.0,1,88.186706
10.0,1,88.222845
10.0,1,88.261962
10.0,1,88.298295
10.0,1,88.336855
10.0,1,88.373961
10.0,1,88.411086
10.0,1,88.44842
10.0,1,88.482371
10.0,1,88.518968
10.0,1,88.5523
10.0,1,88.58656
9.972823,1,88.620349
10.0,1,88.654453
10.0,1,88.690709
10.0,1,88.724879
10.0,1,88.75961
10.0,1,88.794887
10.0,1,88.831309
10.0,1,88.869634
10.0,1,88.90594
10.0,1,88.941343
10.0,1,88.97832
10.0,1,89.013321
10.0,1,89.052862
10.0,1,89.088773
10.0,1,89.129214
10.0,1,89.170836
10.0,1,89.207561
10.0,1,89.252098
10.0,1,89.289686
9.752459,1,89.3257
10.0,1,89.360758
10.0,1,89.396045
10.0,1,89.432213
10.0,1,89.465865
10.0,1,89.499785
10.0,1,89.534493
10.0,1,89.568166
10.0,1,89.605886
10.0,1,89.640387
10.0,1,89.674
10.0,1,89.709416
10.0,1,89.743175
10.0,1,89.778819
10.0,1,89.812334
10.0,1,89.845921
10.0,1,89.879186
21.651323,7203,235.997483
9.809351,1,236.032743
10.015904,200,239.893079
10.0,1,239.928619
10.0,1,239.96272
10.0,1,239.999523
10.0,1,240.033304
10.0,1,240.067682
10.0,1,240.101651
10.0,1,240.13413
10.0,1,240.170763
10.0,1,240.204559
10.0,1,240.235656
10.0,1,240.269631
10.0,1,240.303418
10.0,1,240.339093
10.272565,1,240.37308
3.165629,1882,279.827403
10.0,1,279.861493
11.498484,14515,576.633058
10.325957,1183,603.793913
10.0,1,603.827288
0.613999,2640,658.838973
10.0,1,658.871709
10.0,1,658.904916
10.0,1,658.935807
10.0,1,658.968752
10.0,1,659.001935
10.0,1,659.036345
10.0,1,659.071799
10.0,1,659.106722
10.0,1,659.139581
10.0,1,659.172723
10.0,1,659.2052
10.0,1,659.242633
10.0,1,659.274871
10.0,1,659.307689
10.0,1,659.340826
10.0,1,659.372261
10.0,1,659.405794
10.0,1,659.437412
10.0,1,659.469732
10.0,1,659.501261
10.0,1,659.53328
10.0,1,659.567836
10.0,1,659.599654
10.0,1,659.631497
10.0,1,659.663242
10.0,1,659.694918
10.0,1,659.729753
10.0,1,659.762306
10.0,1,659.794233
10.0,1,659.82635
10.0,1,659.858277
10.0,1,659.892143
10.0,1,659.924346
10.0,1,659.956527
10.0,1,659.988345
10.0,1,660.020431
10.0,1,660.054142
10.0,1,660.086382
10.0,1,660.118562
10.0,1,660.151067
10.0,1,660.183152
10.0,1,660.218436
10.0,1,660.251236
10.0,1,660.283352
10.0,1,660.314927
10.0,1,660.346268
10.0,1,660.381016
10.0,1,660.413064
10.0,1,660.445636
10.0,1,660.47649
10.0,1,660.507209
15.195888,14115,944.941391
24.072195,13604,1220.163639
10.0,1,1220.197107
9.957177,1,1220.23274
10.0,1,1220.26518
