# {"t_start": 1564156370.28209, "env_id": null} 
r,l,t
-3.629174,15861,334.164534
10.0,1,334.199881
-0.995759,17813,703.114585
10.0,1,703.150686
-0.281702,12190,948.814863
10.314343,1,948.846346
10.0,1,948.879363
5.61332,3818,1026.360593
10.0,1,1026.393236
5.97661,23602,1510.364517
5.201561,3173,1573.513788
10.0,1,1573.548394
10.0,1,1573.58174
10.110568,1,1573.61407
10.0,1,1573.652577
9.9122,392,1581.542821
0.224798,6557,1713.82674
10.290877,1,1713.859658
10.0,1,1713.893695
10.0,1,1713.927363
10.0,1,1713.960971
10.0,1,1713.996566
10.0,1,1714.031609
-8.184894,49192,2715.181272
-0.691616,7601,2870.378844
9.974799,1,2870.41326
10.0,1,2870.446501
15.359129,5244,2977.553335
6.599501,2993,3037.277597
10.043922,1,3037.309339
10.0,1,3037.342533
10.0,1,3037.376606
10.0,1,3037.409311
10.0,1,3037.444504
10.0,1,3037.479796
12.188335,5505,3148.433836
10.0,1,3148.465862
9.650654,1,3148.502091
27.894026,10223,3356.848498
9.784782,1,3356.884557
10.0,1,3356.919398
10.0,1,3356.949921
10.0,1,3356.991747
10.0,1,3357.027579
10.0,1,3357.063168
10.0,1,3357.098352
10.0,1,3357.1347
10.0,1,3357.17184
10.0,1,3357.20754
10.0,1,3357.240347
10.0,1,3357.281251
10.0,1,3357.319625
10.0,1,3357.355481
10.0,1,3357.393657
10.0,1,3357.426647
10.0,1,3357.464768
10.0,1,3357.500589
10.0,1,3357.533728
10.0,1,3357.569658
10.0,1,3357.601222
10.0,1,3357.644111
10.0,1,3357.676888
10.0,1,3357.709669
10.0,1,3357.748141
10.0,1,3357.780044
10.0,1,3357.816974
10.0,1,3357.849474
10.0,1,3357.887733
10.0,1,3357.922773
10.0,1,3357.956819
10.0,1,3357.990296
10.0,1,3358.028711
10.0,1,3358.060462
10.0,1,3358.094251
10.0,1,3358.126955
10.0,1,3358.164784
10.0,1,3358.199937
10.0,1,3358.233452
10.0,1,3358.267208
10.0,1,3358.303335
10.0,1,3358.33857
10.162174,1287,3384.443889
11.885634,16459,3718.16837
10.0,1,3718.201277
10.0,1,3718.234177
10.0,1,3718.266917
10.0,1,3718.301759
11.397994,1667,3751.559034
14.550983,3539,3823.081087
10.0,1,3823.11545
10.0,1,3823.148606
10.0,1,3823.180628
8.532261,3055,3884.027545
10.0,1,3884.062998
9.648901,1,3884.095016
10.0,1,3884.130205
10.0,1,3884.163932
10.000702,356,3891.263785
10.358355,1,3891.297646
16.647574,12428,4140.137289
5.626457,3770,4215.966943
10.0,1,4215.999879
14.835351,8905,4393.443431
7.80784,5132,4496.477559
10.0,1,4496.508469
10.052885,1,4496.541242
9.886647,5155,4601.238153
10.0,1,4601.273257
10.0,1,4601.310014
9.950588,1,4601.341351
10.0,1,4601.375523
4.537399,9881,4800.686592
10.0,1,4800.720133
10.0,1,4800.754815
10.0,1,4800.785732
10.0,1,4800.819302
10.0,1,4800.851458
10.0,1,4800.879792
10.0,1,4800.907754
10.0,1,4800.940428
10.0,1,4800.971765
10.0,1,4801.004561
10.0,1,4801.039434
10.0,1,4801.072205
10.0,1,4801.101714
10.0,1,4801.136649
10.0,1,4801.171689
10.0,1,4801.204449
10.0,1,4801.237551
10.0,1,4801.268835
10.0,1,4801.298729
10.0,1,4801.330242
10.0,1,4801.36171
10.0,1,4801.394082
10.0,1,4801.423288
10.0,1,4801.457914
10.0,1,4801.489503
10.0,1,4801.520546
10.0,1,4801.553812
10.0,1,4801.585954
10.0,1,4801.617922
10.18733,1,4801.650074
10.0,1,4801.682091
10.0,1,4801.715357
10.0,1,4801.746379
10.0,1,4801.777803
10.0,1,4801.809079
10.0,1,4801.840663
10.0,1,4801.874192
10.0,1,4801.90637
10.0,1,4801.938204
10.0,1,4801.969859
10.0,1,4802.001498
10.0,1,4802.035437
10.0,1,4802.067177
10.0,1,4802.098416
10.0,1,4802.129223
10.0,1,4802.160851
10.0,1,4802.194433
10.0,1,4802.226793
10.0,1,4802.257894
10.0,1,4802.29049
10.0,1,4802.323788
10.0,1,4802.357053
10.0,1,4802.392276
10.0,1,4802.425413
10.0,1,4802.458894
10.0,1,4802.492633
10.0,1,4802.527562
10.0,1,4802.560072
10.0,1,4802.591751
10.0,1,4802.62113
10.0,1,4802.654089
10.0,1,4802.685186
10.0,1,4802.716554
13.153643,12623,5055.251076
9.754228,1,5055.280787
10.0,1,5055.310593
10.0,1,5055.34332
10.0,1,5055.370622
-0.509748,1835,5091.727261
10.0,1,5091.759948
9.803288,1,5091.795687
9.938345,1798,5128.62767
10.0,1,5128.659812
9.906188,1,5128.693086
10.0,1,5128.723974
10.0,1,5128.755396
10.0,1,5128.786945
-11.565211,27387,5684.108555
12.29629,7216,5831.67838
10.0,1,5831.71225
10.0,1,5831.745735
10.0,1,5831.773329
10.0,1,5831.806392
10.0,1,5831.83883
10.0,1,5831.870795
10.0,1,5831.901046
10.0,1,5831.933102
10.0,1,5831.967199
10.0,1,5831.999625
10.0,1,5832.031511
10.0,1,5832.063562
10.0,1,5832.095772
10.0,1,5832.126816
10.0,1,5832.158671
10.0,1,5832.190717
10.0,1,5832.223182
10.0,1,5832.2552
10.0,1,5832.289733
10.0,1,5832.322314
10.0,1,5832.354814
10.0,1,5832.385373
10.0,1,5832.418887
10.0,1,5832.453146
10.0,1,5832.486016
10.0,1,5832.521479
10.0,1,5832.553084
10.0,1,5832.588959
10.0,1,5832.621132
10.0,1,5832.65789
10.0,1,5832.687942
10.0,1,5832.721269
10.0,1,5832.751783
10.0,1,5832.787097
10.0,1,5832.819148
10.0,1,5832.850392
10.0,1,5832.882445
10.0,1,5832.913736
10.0,1,5832.952255
10.0,1,5832.984246
10.0,1,5833.019381
10.0,1,5833.050295
10.0,1,5833.0844
10.0,1,5833.116462
10.0,1,5833.147502
10.0,1,5833.177519
10.0,1,5833.207604
10.0,1,5833.238682
10.0,1,5833.271916
10.0,1,5833.303243
10.0,1,5833.332175
10.0,1,5833.361215
10.0,1,5833.392286
10.0,1,5833.427924
10.0,1,5833.459482
10.0,1,5833.490434
10.0,1,5833.521323
10.0,1,5833.552734
10.0,1,5833.586742
10.0,1,5833.617346
10.0,1,5833.648354
10.0,1,5833.679854
9.977591,1,5833.710687
10.0,1,5833.743825
10.0,1,5833.775383
10.0,1,5833.806156
10.0,1,5833.837623
10.0,1,5833.868459
10.0,1,5833.901773
10.0,1,5833.932918
10.0,1,5833.964194
10.0,1,5833.995561
10.0,1,5834.026952
10.0,1,5834.060074
6.80665,15245,6141.97074
10.0,1,6142.003641
10.0,1,6142.036628
10.0,1,6142.069127
10.0,1,6142.101602
10.0,1,6142.136169
10.0,1,6142.168629
10.0,1,6142.201027
10.0,1,6142.233364
10.0,1,6142.265587
10.0,1,6142.300767
10.0,1,6142.332985
10.0,1,6142.365392
10.0,1,6142.397719
10.0,1,6142.429774
10.0,1,6142.46411
10.0,1,6142.496632
10.258748,201,6146.469385
10.04088,183,6150.22891
10.0,1,6150.262078
9.777967,1,6150.295132
1.312867,10485,6361.706199
5.952008,941,6380.367454
9.685541,1,6380.399982
13.473871,1046,6401.202356
10.281729,1,6401.235911
10.0,1,6401.268632
9.943283,396,6408.992596
16.230765,4977,6508.714386
10.0,1,6508.746247
-2.714791,16414,6839.512582
10.0,1,6839.547004
10.0,1,6839.580465
10.587154,10826,7056.31138
11.016086,9342,7245.220939
10.059316,4003,7327.167782
10.0,1,7327.200023
10.0,1,7327.235492
10.0,1,7327.268922
10.0,1,7327.303318
10.0,1,7327.335833
10.0,1,7327.367797
10.0,1,7327.402427
10.0,1,7327.434601
10.0,1,7327.469646
4.118875,3469,7396.520567
10.0,1,7396.554737
10.410213,1,7396.5883
10.0,1,7396.61968
9.761723,149,7399.625291
10.0,1,7399.662433
-10.65002,29586,7997.360596
1.962782,12747,8253.411523
28.174591,12203,8501.726927
9.936036,1,8501.759619
10.0,1,8501.793252
10.0,1,8501.82566
10.0,1,8501.859178
8.92975,19170,8887.909723
10.0,1,8887.945586
10.088265,1,8887.978397
5.778127,19174,9272.875104
0.837808,8413,9438.540993
8.334111,5113,9540.226685
25.959516,10156,9743.504417
10.10429,1,9743.538738
10.0,1,9743.571981
10.0,1,9743.606259
10.0,1,9743.639075
10.0,1,9743.672494
18.245019,40719,10566.696179
9.745654,1,10566.728914
10.120095,153,10569.671427
17.83119,10628,10786.295192
10.172513,1,10786.327683
4.951601,11984,11029.406117
10.0,1,11029.44018
10.0,1,11029.475707
10.0,1,11029.50935
10.0,1,11029.542864
10.0,1,11029.575891
10.0,1,11029.60898
10.0,1,11029.644688
10.0,1,11029.678536
10.260644,1,11029.711987
17.194705,1458,11058.806431
10.0,1,11058.841204
9.524646,4203,11142.940867
10.0,1,11142.976225
9.714964,1,11143.009852
10.0,1,11143.04245
10.0,1,11143.075582
10.0,1,11143.108404
10.0,1,11143.143186
10.0,1,11143.17632
10.0,1,11143.209131
10.0,1,11143.243319
10.0,1,11143.279276
10.0,1,11143.312995
10.0,1,11143.345072
10.0,1,11143.378197
10.0,1,11143.413374
10.0,1,11143.447468
10.0,1,11143.481439
10.0,1,11143.511786
10.0,1,11143.541914
10.0,1,11143.574257
10.0,1,11143.608765
10.0,1,11143.644556
10.0,1,11143.677168
10.0,1,11143.710084
10.0,1,11143.74252
10.0,1,11143.774602
10.0,1,11143.807221
10.0,1,11143.838026
10.0,1,11143.871835
10.0,1,11143.903752
10.0,1,11143.933069
6.860428,6494,11276.063945
10.0,1,11276.098958
10.157844,1,11276.133016
