# {"t_start": 1564156370.2667232, "env_id": null} 
r,l,t
16.042567,8479,184.209303
10.0,1,184.245951
12.104988,2182,228.081563
21.291494,7238,377.014148
10.0,1,377.052063
10.0,1,377.08602
10.0,1,377.119845
10.667749,2500,428.473395
10.0,1,428.507341
10.0,1,428.541451
10.0,1,428.580592
6.256724,8888,613.257899
18.618669,16546,948.304352
7.173354,4642,1042.827526
10.14556,1,1042.86526
-9.004881,14381,1338.057151
9.990896,1,1338.091352
10.0,1,1338.128111
10.0,1,1338.166071
10.0,1,1338.198206
10.0,1,1338.230878
10.0,1,1338.26183
10.0,1,1338.298053
10.0,1,1338.333051
10.0,1,1338.366092
10.0,1,1338.399546
10.0,1,1338.434577
10.0,1,1338.470038
10.0,1,1338.50275
10.0,1,1338.535452
10.0,1,1338.56673
10.0,1,1338.597382
10.0,1,1338.630237
10.0,1,1338.664035
-13.402145,38038,2108.751085
10.0,1,2108.788121
10.043241,1,2108.823022
10.0,1,2108.857967
0.451499,11372,2340.749501
-0.704353,11282,2570.701494
9.739563,1,2570.734395
10.0,1,2570.76448
12.069456,1477,2600.906291
9.916474,1,2600.9397
10.0,1,2600.973472
10.0,1,2601.011098
10.0,1,2601.045109
10.0,1,2601.080928
10.0,1,2601.113313
10.0,1,2601.147042
10.0,1,2601.179628
10.0,1,2601.210768
10.0,1,2601.246388
10.0,1,2601.27724
10.0,1,2601.309217
10.0,1,2601.341855
10.0,1,2601.375637
10.0,1,2601.411375
10.0,1,2601.443765
10.0,1,2601.475626
10.0,1,2601.507456
10.0,1,2601.538212
10.0,1,2601.572725
10.0,1,2601.60493
10.0,1,2601.639312
10.0,1,2601.671386
10.0,1,2601.702687
10.0,1,2601.737106
10.0,1,2601.768274
10.0,1,2601.797318
10.0,1,2601.832187
9.829335,1,2601.865371
10.0,1,2601.898326
10.0,1,2601.930592
10.0,1,2601.965059
10.0,1,2601.99692
10.0,1,2602.027307
10.0,1,2602.060233
10.0,1,2602.092549
10.0,1,2602.125074
10.0,1,2602.157628
10.0,1,2602.189455
10.0,1,2602.224568
10.0,1,2602.256577
10.0,1,2602.288796
10.0,1,2602.32102
10.0,1,2602.353349
10.0,1,2602.388452
10.0,1,2602.42065
10.0,1,2602.452448
10.0,1,2602.486201
10.0,1,2602.517114
10.0,1,2602.550949
10.0,1,2602.581297
10.0,1,2602.612447
10.0,1,2602.644033
10.0,1,2602.677452
10.0,1,2602.711558
10.0,1,2602.742972
10.0,1,2602.773091
10.0,1,2602.804875
10.0,1,2602.836198
10.0,1,2602.86909
10.0,1,2602.900381
10.0,1,2602.93233
10.0,1,2602.963905
10.0,1,2602.995192
10.0,1,2603.028474
10.0,1,2603.059658
10.0,1,2603.090871
10.0,1,2603.1222
10.0,1,2603.153434
10.0,1,2603.186819
10.0,1,2603.21802
10.0,1,2603.249513
10.0,1,2603.282865
10.0,1,2603.315291
10.0,1,2603.350068
10.0,1,2603.383678
10.0,1,2603.414851
10.0,1,2603.446831
10.0,1,2603.48282
10.0,1,2603.514333
10.0,1,2603.546165
10.0,1,2603.57801
10.0,1,2603.609711
10.0,1,2603.639512
10.0,1,2603.672947
10.0,1,2603.708607
10.0,1,2603.739927
10.0,1,2603.771456
10.0,1,2603.802925
10.0,1,2603.836267
10.0,1,2603.868001
10.0,1,2603.899394
10.0,1,2603.931057
10.0,1,2603.962754
10.0,1,2603.996801
10.0,1,2604.0286
10.0,1,2604.060165
10.0,1,2604.091718
10.0,1,2604.122903
10.0,1,2604.156589
10.0,1,2604.187469
10.0,1,2604.219262
10.0,1,2604.249348
10.0,1,2604.281193
10.0,1,2604.314161
10.0,1,2604.344684
10.0,1,2604.374762
10.0,1,2604.407937
10.0,1,2604.438493
10.0,1,2604.472289
20.204624,3038,2665.500812
10.142836,1,2665.534125
10.0,1,2665.569544
10.0,1,2665.603975
10.0,1,2665.639186
10.0,1,2665.671536
10.0,1,2665.706108
10.0,1,2665.742092
10.0,1,2665.773311
10.0,1,2665.804814
10.0,1,2665.835744
10.0,1,2665.870611
10.0,1,2665.904728
10.0,1,2665.938036
3.544678,3234,2732.633793
9.982079,1,2732.672209
18.82851,16980,3077.686484
10.0,1,3077.722018
10.0,1,3077.755622
10.0,1,3077.788123
10.0,1,3077.824847
3.160555,11163,3304.158359
20.069075,8403,3474.688275
9.958674,1,3474.721659
10.0,1,3474.756048
10.0,1,3474.78857
10.0,1,3474.823655
10.0,1,3474.862719
10.0,1,3474.896881
10.0,1,3474.931746
10.0,1,3474.965194
10.0,1,3475.000707
10.0,1,3475.035474
10.0,1,3475.069282
10.0,1,3475.106483
10.0,1,3475.139801
10.0,1,3475.172277
10.0,1,3475.205079
10.0,1,3475.237966
10.0,1,3475.270777
10.0,1,3475.303996
10.0,1,3475.340034
10.0,1,3475.373807
10.0,1,3475.407006
10.0,1,3475.441229
10.0,1,3475.474523
10.0,1,3475.508558
10.0,1,3475.540704
10.0,1,3475.572736
10.0,1,3475.604681
10.0,1,3475.636766
10.0,1,3475.671447
10.0,1,3475.704093
10.0,1,3475.736637
10.0,1,3475.769201
10.0,1,3475.801744
10.0,1,3475.83613
10.0,1,3475.86913
10.0,1,3475.901617
10.0,1,3475.934012
10.0,1,3475.96624
10.0,1,3476.001016
10.0,1,3476.033272
10.0,1,3476.065952
10.0,1,3476.098159
10.0,1,3476.130403
10.0,1,3476.164774
10.0,1,3476.196863
10.0,1,3476.228706
10.0,1,3476.260804
10.0,1,3476.29291
10.0,1,3476.327951
10.0,1,3476.360183
10.0,1,3476.392335
10.0,1,3476.424439
10.0,1,3476.45646
10.0,1,3476.490504
10.0,1,3476.522446
10.0,1,3476.553335
10.0,1,3476.585895
10.0,1,3476.62002
10.0,1,3476.654233
10.0,1,3476.685192
10.0,1,3476.717232
10.0,1,3476.75192
10.0,1,3476.783954
10.0,1,3476.818581
10.0,1,3476.850161
10.0,1,3476.881758
10.0,1,3476.912647
10.0,1,3476.945923
10.0,1,3476.978191
10.0,1,3477.010866
10.0,1,3477.045417
10.0,1,3477.080767
10.0,1,3477.1141
10.0,1,3477.149989
10.0,1,3477.182883
10.0,1,3477.215655
10.0,1,3477.246426
10.0,1,3477.27846
10.0,1,3477.313832
10.0,1,3477.34889
10.0,1,3477.37915
10.0,1,3477.409714
10.0,1,3477.440338
10.0,1,3477.474407
10.0,1,3477.503731
10.0,1,3477.535226
10.0,1,3477.566805
10.0,1,3477.597063
16.598499,4013,3559.364783
10.0,1,3559.400136
5.617551,5173,3663.759292
10.0,1,3663.794021
10.411224,1,3663.826608
11.867692,28599,4238.251224
10.0,1,4238.28529
10.174974,476,4248.036903
10.0,1,4248.07285
7.424585,34961,4950.433167
10.0,1,4950.46726
9.840746,1,4950.501448
20.221238,9201,5134.860819
10.18974,1,5134.894992
10.0,1,5134.928012
10.0,1,5134.962157
10.0,1,5134.996029
15.557961,691,5149.267546
9.989844,1,5149.30449
0.778879,7188,5296.220783
9.985618,1,5296.255304
17.976895,7761,5452.437784
4.605471,6595,5584.922183
9.951816,1,5584.956491
10.0,1,5584.987939
10.0,1,5585.021745
10.0,1,5585.054801
10.0,1,5585.089955
10.0,1,5585.123217
10.0,1,5585.155949
10.0,1,5585.188856
10.0,1,5585.222377
10.0,1,5585.258045
10.0,1,5585.291059
10.0,1,5585.324374
10.0,1,5585.357578
10.0,1,5585.390492
10.0,1,5585.425562
10.0,1,5585.458568
10.0,1,5585.49169
10.0,1,5585.52481
10.0,1,5585.557888
10.0,1,5585.59314
10.0,1,5585.626289
10.0,1,5585.657706
10.0,1,5585.693003
10.0,1,5585.726175
10.0,1,5585.760522
10.0,1,5585.792199
10.0,1,5585.822727
10.0,1,5585.85397
10.0,1,5585.885338
10.0,1,5585.923022
10.0,1,5585.954836
10.0,1,5585.986748
10.0,1,5586.018958
10.0,1,5586.050776
10.0,1,5586.085031
10.0,1,5586.116122
10.0,1,5586.14693
10.0,1,5586.182713
10.0,1,5586.212338
10.0,1,5586.245407
10.0,1,5586.277399
10.0,1,5586.309386
10.0,1,5586.341441
10.0,1,5586.373385
10.0,1,5586.407656
10.0,1,5586.439858
10.0,1,5586.471735
10.0,1,5586.504442
10.0,1,5586.536901
10.0,1,5586.571338
10.0,1,5586.602998
10.0,1,5586.635063
10.0,1,5586.66706
10.0,1,5586.698996
10.0,1,5586.733844
10.0,1,5586.766592
10.0,1,5586.80347
10.0,1,5586.835041
10.0,1,5586.86704
10.0,1,5586.90175
10.0,1,5586.937194
10.0,1,5586.969514
10.0,1,5587.001834
10.0,1,5587.034054
10.0,1,5587.068318
10.0,1,5587.100851
10.0,1,5587.133172
