# {"t_start": 1564300495.4788058, "env_id": null} 
r,l,t
135.698865,916,10.573865
148.737681,335,14.745065
138.990699,354,19.295235
225.483903,623,26.971211
54.312802,91,28.174919
50.003168,86,29.30393
125.748556,307,32.980654
130.807654,317,37.240411
114.492134,326,41.285883
111.048983,168,43.590622
64.433515,68,44.353444
40.928825,32,44.871957
42.825589,50,45.584415
82.240172,166,47.559944
95.828548,182,50.239996
22.109536,11,50.400645
27.944351,26,50.7579
73.400632,175,52.847755
51.606685,131,54.373227
