# {"t_start": 1564156370.2864819, "env_id": null} 
r,l,t
10.0,1,3365.667072
10.0,1,3365.69962
10.0,1,3365.731745
10.0,1,3365.765875
10.0,1,3365.798052
10.0,1,3365.83226
10.0,1,3365.863532
10.0,1,3365.895437
10.0,1,3365.930341
10.0,1,3365.961772
10.0,1,3365.996243
10.0,1,3366.028189
10.0,1,3366.058988
10.0,1,3366.092939
10.0,1,3366.123133
10.0,1,3366.155202
10.0,1,3366.187154
10.0,1,3366.222721
10.0,1,3366.256876
10.0,1,3366.288845
10.0,1,3366.321138
10.0,1,3366.353263
10.0,1,3366.385507
19.676978,7547,3519.32885
10.0,1,3519.362295
10.0,1,3519.396773
2.837145,11826,3758.255967
10.0,1,3758.291878
43.805125,30862,4375.63714
7.980344,2287,4421.407002
9.795177,92,4423.168835
10.153816,1,4423.20176
10.0,1,4423.234378
20.343003,4024,4504.195953
9.734512,1,4504.228869
10.0,1,4504.261831
9.286696,1845,4541.401349
9.623318,1,4541.441178
14.928945,14161,4828.653095
10.0,1,4828.687807
10.0,1,4828.721884
10.0,1,4828.755896
10.0,1,4828.791564
10.0,1,4828.825589
24.644699,5779,4944.734587
9.958745,1,4944.767665
10.098062,435,4953.350757
3.756348,9928,5152.908579
15.340434,60,5154.088242
10.187106,76,5155.588769
10.0,1,5155.621991
10.0,1,5155.655055
10.0,1,5155.688447
10.0,1,5155.722125
10.0,1,5155.756885
10.0,1,5155.789989
10.0,1,5155.825593
10.0,1,5155.857719
10.0,1,5155.890334
10.0,1,5155.922865
10.0,1,5155.954214
10.0,1,5155.98538
10.0,1,5156.016006
10.0,1,5156.047151
10.0,1,5156.081381
10.0,1,5156.11367
10.0,1,5156.145249
10.0,1,5156.178415
10.0,1,5156.212491
10.0,1,5156.246046
10.0,1,5156.277301
10.0,1,5156.309065
10.0,1,5156.341487
10.0,1,5156.373739
10.0,1,5156.407945
10.0,1,5156.440366
10.0,1,5156.473774
10.0,1,5156.506445
10.0,1,5156.538632
10.0,1,5156.573106
10.0,1,5156.605508
10.0,1,5156.637646
10.0,1,5156.669952
10.0,1,5156.701363
10.0,1,5156.734895
10.0,1,5156.766918
10.0,1,5156.798801
10.0,1,5156.831361
10.0,1,5156.86361
10.0,1,5156.897916
10.0,1,5156.930615
