eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,total_timesteps,value_loss
3.0,0.0,0.08317714929580688,62,1,1.3555349111557007,15,0.0005188335780985653
483.83,0.06571168452698468,0.999673831043765,73,100,0.8384315967559814,1500,0.02216591127216816
730.53,0.1760112582913929,0.9973163153044879,46,200,0.44613760709762573,3000,0.3034329116344452
862.91,0.05833587508925465,0.9997859611758031,51,300,0.9193781018257141,4500,0.01792987808585167
743.83,0.0,-2.8339226245880127,54,400,1.3584657907485962,6000,0.002303102519363165
